City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,saurimo,-9.6608,20.3916,289.94,33,0,3.61,AO,1689563827
252,kisaran,2.9845,99.6158,303.52,62,98,0.3,ID,1689563827
253,turbat,26.0023,63.044,301.78,73,93,1.04,PK,1689563828
254,calabozo,8.9242,-67.4293,297.33,90,81,2.04,VE,1689563828
255,riosucio,5.4216,-75.7032,287.6,97,87,0.56,CO,1689563828
256,susuman,62.7833,148.1667,293.52,38,100,0.83,RU,1689563829
257,darwin,-12.4611,130.8418,303.65,35,0,7.72,AU,1689563829
258,lewistown,40.5992,-77.5714,296.56,91,0,0.0,US,1689563829
259,naze,28.3667,129.4833,303.66,81,86,7.61,JP,1689563829
260,surgut,61.25,73.4167,293.25,49,0,3.13,RU,1689563829
261,chibougamau,49.9168,-74.3659,291.94,94,0,1.54,CA,1689563830
262,karak city,31.1637,35.762,296.47,38,0,1.82,JO,1689563830
263,borujen,31.9652,51.2873,295.67,16,0,1.46,IR,1689563830
264,viedma,-40.8135,-62.9967,277.31,52,17,6.0,AR,1689563532
265,evora,38.5667,-7.9,286.11,62,0,2.62,PT,1689563831
266,alaghsas,17.0187,8.0168,305.03,26,13,4.29,NE,1689563831
267,babahoyo,-1.8167,-79.5167,297.52,91,63,1.55,EC,1689563831
268,kingston,17.997,-76.7936,302.68,86,20,2.57,JM,1689563831
269,pervomayskoye,43.919,46.7102,292.77,68,53,6.23,RU,1689563831
270,saint-joseph,-21.3667,55.6167,292.36,82,25,6.08,RE,1689563832
271,qaqortoq,60.7167,-46.0333,279.76,93,92,0.68,GL,1689563832
272,okhotsk,59.3833,143.3,289.41,82,99,2.38,RU,1689563832
273,roma,43.2128,-75.4557,294.11,93,0,0.0,US,1689563832
274,avarua,-21.2078,-159.775,296.18,64,100,2.57,CK,1689563833
275,koster,-25.863,26.8976,279.47,50,0,2.27,ZA,1689563833
276,kirensk,57.7853,108.1119,290.38,97,100,1.42,RU,1689563833
277,namibe,-15.1961,12.1522,293.26,59,0,1.69,AO,1689563833
278,kupang,-10.1667,123.5833,303.47,54,20,6.17,ID,1689563834
